image_id,feature_id,declared_layer_id,actual_layer_file,feature_exists,old_linkage_status,new_linkage_status,geojson_updated,notes
IMG-7B1A445EA919E31A,LY-TRI-000039,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-D88416AA6A16B6C4,LY-TRI-000040,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-6FB7BFC4F9E0A52F,LY-TRI-000041,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-081738BE08D0A139,LY-TRI-000043,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-0DE11A8830B0040A,LY-TRI-000044,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-786748B0FB44719A,LY-TRI-000045,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-B889077CB62C8940,LY-TRI-000049,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-064B4A2A53EADC07,LY-TRI-000051,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-19303339136B110F,LY-TRI-000052,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-8AA3792D47A8700B,LY-TRI-000054,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-122EC6794AE5AD9B,LY-TRI-000055,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-ECA0C97F0281CBCD,LY-TRI-000056,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-F7AFA396298F215C,LY-TRI-000058,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-9C844F7D15BA1CA9,LY-TRI-000059,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-40E860A9C361F231,LY-TRI-000061,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-4E283F699F851D7B,LY-TRI-000063,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-A344A7E577E96630,LY-TRI-000064,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-3F21FA0C3434B21B,LY-TRI-000069,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-464866CA94A2E016,LY-TRI-000071,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-5D3E8C32DECB8309,LY-TRI-000077,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-B5026D10CF623027,LY-TRI-000079,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-250D8FA287642F04,LY-TRI-000082,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-E3D10855EA0BF5FC,LY-TRI-000084,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-E07ADBE1ECA6364B,LY-TRI-000087,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-14F50A0DFB2B393D,LY-TRI-000088,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-EDB214ADFC5588F7,LY-TRI-000090,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-C653F4856C3D5A1E,LY-TRI-000094,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-D32E10A0FAEF78DA,LY-TRI-000096,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-BE72CA288AC4FFD8,LY-TRI-000097,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-B75EC215EEDFBBA4,LY-TRI-000098,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-AE2F2C36A0837DE7,LY-TRI-000099,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-420546FB58A56676,LY-TRI-000100,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-8D3346A3D8B025A2,LY-TRI-000101,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-27D23CDF7CAD565E,LY-TRI-000102,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-0B0BAD440877AE8D,LY-TRI-000103,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-75124E0C3746CE7B,LY-TRI-000105,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-1D4E50966FFE4716,LY-TRI-000106,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-22FE81AC5913EA1B,LY-TRI-000108,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-82FFA2EB6C92341C,LY-TRI-000114,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-D00AC0B9FAAFC9DB,LY-TRI-000115,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-F8BB3CFA74697A1A,LY-TRI-000116,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-A137631F1888A7E7,LY-TRI-000118,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-AF6CCCFE878CF202,LY-TRI-000122,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-B228F8B555664904,LY-TRI-000123,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-DF4A3DD398AE2330,LY-TRI-000126,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-60A1D2961C0FAA26,LY-TRI-000128,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-3CAC86A1C4B6CD4F,LY-TRI-000129,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-1255666E623D3F1F,LY-TRI-000132,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-659B350A4BD8EBB2,LY-TRI-000134,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-78BA295438D199F4,WH-WORLD-C0002,world-heritage,data/layers/world-heritage.geojson,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-D5179154990536A1,WH-MAIN-001,world-heritage,data/layers/world-heritage.geojson,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-EB3970495DD0618E,WH-WORLD-C0001,world-heritage,data/layers/world-heritage.geojson,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-02D99FA57565D0E7,WH-LY-001-0001,world-heritage,data/layers/world-heritage.geojson,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-6EC30511C574D4E7,WH-LY-001-0002,world-heritage,data/layers/world-heritage.geojson,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
