feature_id,layer_id,source_status,operational_status_code,operational_status_ar,evidence_type,evidence_reference,confidence,institutional_confirmation_required,notes
LY-HOT-000041,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000042,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000043,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000044,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000045,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000046,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000047,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000048,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000049,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000050,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000051,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000052,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000053,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000054,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000055,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000056,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000057,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000058,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000059,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000060,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000061,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000062,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000063,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000064,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000065,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000066,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000067,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000068,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000069,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000070,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000071,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000072,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000073,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000074,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000075,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000076,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000077,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000078,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000079,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000080,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000081,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000082,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000083,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000084,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000085,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000086,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000087,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000088,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000089,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000090,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000091,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000092,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000093,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000094,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000095,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000096,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000097,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000098,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000099,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000100,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000101,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000102,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000103,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000104,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000105,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000106,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000107,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000108,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000109,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000110,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000111,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000112,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000113,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000114,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000115,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000116,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000117,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000118,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000119,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000120,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000121,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000122,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000123,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000124,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000125,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000126,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000127,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000128,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000129,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000130,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000131,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000132,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000133,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000134,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000135,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000137,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000138,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000140,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000142,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000143,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000144,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000145,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000146,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000148,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000149,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000150,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000151,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000152,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000153,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000154,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000155,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000157,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000158,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000159,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000160,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000162,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000163,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000164,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000166,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000167,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000168,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000169,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000170,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000171,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000172,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000176,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000178,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000179,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000180,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000181,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000182,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000183,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000184,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000185,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000186,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000187,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000188,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000189,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000190,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000191,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000192,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000193,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000194,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000195,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000196,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000198,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000201,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000202,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000203,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000204,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000205,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000206,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000207,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000208,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000209,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000210,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000211,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000212,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
