duplicate_group_id,sample_class,threshold_before,threshold_after,histogram_check,manual_visual_review_completed,observed_group_result,false_group,true_near_duplicate,cross_destination_false_group,notes
DUP-00813,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00827,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00841,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00855,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00869,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00883,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00897,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00911,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00925,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00939,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00953,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00967,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00981,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00995,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01009,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01023,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01037,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01051,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01065,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01079,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01093,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01107,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01121,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01135,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01149,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01163,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01177,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01191,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01205,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01219,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01233,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01247,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01261,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01275,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01289,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01303,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01317,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01331,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01345,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01359,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01373,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01387,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00002,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00003,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00004,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00005,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00006,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00008,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00009,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00010,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00011,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00012,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00013,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00014,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00016,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00017,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00018,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00019,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00020,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00021,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00022,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00023,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00024,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00025,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00027,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00028,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00032,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00033,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00034,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00035,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00036,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00037,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00038,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00039,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00040,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00041,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00042,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00044,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00045,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00047,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00048,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00049,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00050,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00051,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00052,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00053,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00054,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00055,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00297,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00333,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00744,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01007,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01064,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01422,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00007,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00026,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00030,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00134,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00371,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00641,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00772,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00824,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00871,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00885,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00908,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00946,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00996,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01053,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01056,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01179,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01183,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01188,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01305,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01310,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01328,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01377,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00031,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00046,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00076,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00086,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00093,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00106,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00109,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00118,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00128,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00137,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00146,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00153,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00191,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00195,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00208,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00224,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00257,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00058,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00078,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00083,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00102,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00110,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00121,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00145,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00149,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00192,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00233,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00234,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00261,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00266,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00268,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00274,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00288,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00317,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00335,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00361,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00384,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00394,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00405,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00408,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00419,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00426,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00438,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00460,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00520,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00595,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00622,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00634,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00666,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00670,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00672,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00696,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00700,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00749,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00790,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00807,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00831,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00880,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00887,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00904,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01071,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01131,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01164,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01184,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01222,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01262,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-01392,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
