feature_id,name_ar,previous_images,new_images,previous_match_type,new_match_type,match_confidence,action,reason,data_cleanup_applied,notes
WH-LY-003-C0010,سيزاريوم/ساحة بروكولوس المحيطة بالأروقة…,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0011,غابة شحات,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0012,هوا القاطر,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0013,مسرح شحات,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0014,مقابر منحوتة في الصخر,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0015,هوا احجري,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0016,نبع أبولو,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0017,شلال شحات,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0018,مدافن محفورة في الجبل,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0019,معبد الكابيتوليوم,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0020,اعمدة اثار شحات الخالدة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0021,معبد زيوس في قورينا,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,assets/media/LIBYA/heritage/cyrene/published/features/cyrene-temple-of-zeus-001.jpeg,site_general,exact_feature,high,add_exact_feature_image,Official source explicitly identifies the temple image,yes,Published feature derivative copied from official local source
WH-LY-003-C0022,السوق اليوناني القديم اغورا,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0023,Byzantine basilica,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0024,شلال الدبوسية,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0025,شلال رأس الهلال بافلو,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0026,شلال بالفو,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0027,Cyrene cemetery,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0028,بحيرة براك نوطا,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0015,فندق التلال الوسيطة..,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0016,أثار جنوب قورينا,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0017,وادي بومليو,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0018,عين الحفرة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0019,عقر بوالنعاس,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0020,مخطط بومليحة السياحي,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0021,هوا بوثن,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0022,مطل القلعة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0023,المناقير,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0024,كاف الخروبة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0025,كهف عبدالله بوخطاب,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0026,هواء هيتيني,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0027,النصب التذكاري لموسوليني,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0028,منتجع بقراوة للالعاب والسياحية,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0029,العويلية,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0030,وادي الحميرة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0031,قصر بوغسال,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0032,متحف فسيفساء قصر ليبيا,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0033,زاوية العرقوب,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0034,قصر المقدم,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0035,كهف العودة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0036,كهف الخزعلية,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0037,مسجد انس بن مالك - باندس,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0038,وادي ابطين الغزال,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0039,كاف طماش,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0040,كاف مسته,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0041,شط الرملة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0042,قرية التلال السياحية الحمامة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0043,منتجع ومصيف الحمامة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0044,احواض السكميتو- القلعة الغارقة,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0045,.برك نوطا,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0046,كهف هوا فطيح.,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0047,استراحات(امواج ),assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0048,وادي المهبول,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0049,كهف الحمام,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0050,مطار الأبرق الدولي,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-TEAM-0051,استراحة محمد بو عبدالعالي,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
