match_id,source_kml,source_placemark_index,source_name,normalized_source_name,candidate_feature_id,candidate_layer_id,candidate_name_ar,match_method,name_similarity,coordinate_distance_meters,geometry_consistency,image_derivative_count,match_status,confidence,manual_confirmation_required,notes
RTM-0037,data/kml/final/old-tripoli.kml,,مسجد الهدار - المدينة القديمة,مسجد الهدار - المدينة القديمة,LY-TRI-000064,old-tripoli,مسجد الهدار - المدينة القديمة,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0038,data/kml/final/old-tripoli.kml,,جامع شايب العين,جامع شايب العين,LY-TRI-000069,old-tripoli,جامع شايب العين,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0039,data/kml/final/old-tripoli.kml,,جامع محمود خزنا دار,جامع محمود خزنا دار,LY-TRI-000071,old-tripoli,جامع محمود خزنا دار,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0040,data/kml/final/old-tripoli.kml,,زاوية الكاتب,زاوية الكاتب,LY-TRI-000077,old-tripoli,زاوية الكاتب,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0041,data/kml/final/old-tripoli.kml,,مبنى بنك دي روما,مبنى بنك دي روما,LY-TRI-000079,old-tripoli,مبنى بنك دي روما,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0042,data/kml/final/old-tripoli.kml,,حوش القرمانللي,حوش القرمانللي,LY-TRI-000082,old-tripoli,حوش القرمانللي,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0043,data/kml/final/old-tripoli.kml,,جالاريا ماريوتي,جالاريا ماريوتي,LY-TRI-000084,old-tripoli,جالاريا ماريوتي,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0044,data/kml/final/old-tripoli.kml,,برج بوليلة,برج بوليلة,LY-TRI-000087,old-tripoli,برج بوليلة,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0045,data/kml/final/old-tripoli.kml,,المدرسة اليهودية,المدرسة اليهودية,LY-TRI-000088,old-tripoli,المدرسة اليهودية,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0046,data/kml/final/old-tripoli.kml,,المركز الصحي المدينة القديمة,المركز الصحي المدينة القديمة,LY-TRI-000090,old-tripoli,المركز الصحي المدينة القديمة,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0047,data/kml/final/old-tripoli.kml,,مطعم باب المدينة,مطعم باب المدينة,LY-TRI-000094,old-tripoli,مطعم باب المدينة,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0048,data/kml/final/old-tripoli.kml,,مقهى السيدة مريم,مقهى السيدة مريم,LY-TRI-000096,old-tripoli,مقهى السيدة مريم,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0049,data/kml/final/old-tripoli.kml,,لاكورنو كافي,لاكورنو كافي,LY-TRI-000097,old-tripoli,لاكورنو كافي,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0050,data/kml/final/old-tripoli.kml,,كافي دي روما,كافي دي روما,LY-TRI-000098,old-tripoli,كافي دي روما,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0051,data/kml/final/old-tripoli.kml,,مقهي باديه,مقهي باديه,LY-TRI-000099,old-tripoli,مقهي باديه,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0052,data/kml/final/old-tripoli.kml,,بيتزا درغوت,بيتزا درغوت,LY-TRI-000100,old-tripoli,بيتزا درغوت,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0053,data/kml/final/old-tripoli.kml,,كازا كافيه,كازا كافيه,LY-TRI-000101,old-tripoli,كازا كافيه,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0054,data/kml/final/old-tripoli.kml,,مطعم الأثار,مطعم الأثار,LY-TRI-000102,old-tripoli,مطعم الأثار,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0055,data/kml/final/old-tripoli.kml,,مطعم فتوش المدينة القديمة ( قوس ماركوس ),مطعم فتوش المدينة القديمة ( قوس ماركوس ),LY-TRI-000103,old-tripoli,مطعم فتوش المدينة القديمة ( قوس ماركوس ),exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0056,data/kml/final/old-tripoli.kml,,مطعم باب الحرية للمأكولات الشعبية,مطعم باب الحرية للمأكولات الشعبية,LY-TRI-000105,old-tripoli,مطعم باب الحرية للمأكولات الشعبية,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0057,data/kml/final/old-tripoli.kml,,باب البحر,باب البحر,LY-TRI-000106,old-tripoli,باب البحر,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0058,data/kml/final/old-tripoli.kml,,باب عبدالله,باب عبدالله,LY-TRI-000108,old-tripoli,باب عبدالله,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0059,data/kml/final/old-tripoli.kml,,باب درغوث,باب درغوث,LY-TRI-000114,old-tripoli,باب درغوث,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0060,data/kml/final/old-tripoli.kml,,باب الحرية,باب الحرية,LY-TRI-000115,old-tripoli,باب الحرية,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0061,data/kml/final/old-tripoli.kml,,سور المديمة القديمة,سور المديمة القديمة,LY-TRI-000116,old-tripoli,سور المديمة القديمة,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0062,data/kml/final/old-tripoli.kml,,سوق اللفة,سوق اللفة,LY-TRI-000118,old-tripoli,سوق اللفة,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0063,data/kml/final/old-tripoli.kml,,سوق الرباع,سوق الرباع,LY-TRI-000122,old-tripoli,سوق الرباع,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0064,data/kml/final/old-tripoli.kml,,سوق المشير,سوق المشير,LY-TRI-000123,old-tripoli,سوق المشير,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0065,data/kml/final/old-tripoli.kml,,فندق زميت الأثري,فندق زميت الأثري,LY-TRI-000126,old-tripoli,فندق زميت الأثري,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0066,data/kml/final/old-tripoli.kml,,فندق الخان,فندق الخان,LY-TRI-000128,old-tripoli,فندق الخان,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0067,data/kml/final/old-tripoli.kml,,فندق ميزران,فندق ميزران,LY-TRI-000129,old-tripoli,فندق ميزران,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0068,data/kml/final/old-tripoli.kml,,فندق القرقني,فندق القرقني,LY-TRI-000132,old-tripoli,فندق القرقني,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0069,data/kml/final/old-tripoli.kml,,حمام درغوث الحمام الصغير,حمام درغوث الحمام الصغير,LY-TRI-000134,old-tripoli,حمام درغوث الحمام الصغير,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0070,,,موقع قورينا الأثري – شحات,موقع قورينا الأثري – شحات,WH-WORLD-C0002,world-heritage,موقع قورينا الأثري – شحات,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0071,,,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0072,,,موقع صبراتة الأثري,موقع صبراتة الأثري,WH-WORLD-C0001,world-heritage,موقع صبراتة الأثري,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0073,,,قوس سبتيموس سفيروس,قوس سبتيموس سفيروس,WH-LY-001-0001,world-heritage,قوس سبتيموس سفيروس,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0074,,,المسرح الروماني الخمس _ ليبيا,المسرح الروماني الخمس _ ليبيا,WH-LY-001-0002,world-heritage,المسرح الروماني الخمس _ ليبيا,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
