feature_id,name_ar,facility_type,city_ar,municipality_ar,classification,stars,candidate_count,possible_remote_reference,priority_for_future_collection,recommended_collection_method,notes
LY-HOT-000117,فندق كونتنتال,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000122,فندق واستراحة جادو,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000124,فندق ومطعم النزهة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000126,طرابلس للشقق الفندقية,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000127,نزل طرابلس الحديث,hostel,,,نزل,,0,false,B,institutional or facility-provided image request,
LY-HOT-000129,فندق الأنيس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000133,فندق الجبل الأخضر,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000140,فندق الزيتونة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000142,فندق السلام,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000144,فندق اجدابيا,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000146,فندق الصحراوي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000149,فندق الفردوس,hotel,يقع في منطقة المغار، وسط البلاد، درنة، ليبيا,يقع في منطقة المغار، وسط البلاد، درنة، ليبيا,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000153,فندق القرضابية,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000159,فندق المدينة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000162,فندق المدينة,hotel,اجدابيا ليبيا,اجدابيا ليبيا,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000167,فندق المنار,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000168,فندق النادي الليبي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000170,فندق النخيل - مغلق,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000172,فندق الهاروج,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000176,فندق الوادي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000178,فندق الياقوتة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000179,فندق الياقوتة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000180,فندق اليقين,hostel,شارع المسيرة الكبرى,شارع المسيرة الكبرى,نزل,,0,false,B,institutional or facility-provided image request,
LY-HOT-000182,فندق اوزو,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000183,فندق ايلاف,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000184,فندق أبراج المدينة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000185,فندق أجنحة قرطاج,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000186,فندق أفريقيا,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000188,فندق أكاكوس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000189,فندق أكاكوس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000191,فندق أوجلة السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000192,فندق أويا,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000194,فندق براك,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000195,فندق برينيتشي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000198,فندق بنغازي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000202,فندق تيبستي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000203,فندق جاكرتا,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000204,فندق جالو السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000205,فندق جرمة السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000206,فندق جليانة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000207,فندق دار جرمة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000208,فندق دوجال السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000210,فندق رواسي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000211,فندق رويال,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000212,فندق ريباس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000216,فندق زهرة البطنان,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000218,فندق زين,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000226,فندق عمر الخيام,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000229,فندق فيلا النوران,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000230,فندق قاطش,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000232,فندق قصر البيضاء,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000234,فندق قصر الفضيل,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000236,فندق قصر النيل,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000237,فندق قصر الواحة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000238,فندق قصور الضيافة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000239,فندق قصي للشقق المفروشة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000241,فندق قورينا,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000243,فندق لؤلؤة درنة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000246,فندق ميزران,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000247,فندق هارون,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000251,الفندق السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000252,الفندق القديم,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000253,الفندق الكبير,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000254,القرية السياحية قاريونس,tourist_village,,,قرية سياحية,,0,false,A,institutional or facility-provided image request,
LY-HOT-000256,نزل المدينة,hostel,,,نزل,,0,false,B,institutional or facility-provided image request,
LY-HOT-000257,نزل أمباي,hostel,,,نزل,,0,false,B,institutional or facility-provided image request,
LY-HOT-000258,نزل بيروت,hostel,شارع الرفاعي، شارع عمر المختار طرابلس المركز,شارع الرفاعي، شارع عمر المختار طرابلس المركز,نزل,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000260,نزل مرحبا,hostel,,,نزل,,0,false,B,institutional or facility-provided image request,
LY-HOT-000261,الماسة للشقق الفندقية,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000262,فندق فزان,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000263,فندق المختار,hostel,يقع الفندق في شارع الكندي المتفرع قرب شارع الرشيد وشارع عمر المختار، طرابلس، ليبيا,يقع الفندق في شارع الكندي المتفرع قرب شارع الرشيد وشارع عمر المختار، طرابلس، ليبيا,نزل,,0,false,B,institutional or facility-provided image request,
LY-HOT-000264,فندق قصر كاباو,hotel,طريق قصر كاباو، كاباو,طريق قصر كاباو، كاباو,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000265,فندق الأفريقي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000266,فندق قرطاج السياحى1,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000267,فندق السارة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000269,فندق أوال,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000270,فندق المتوسط,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000271,فندق قرطاج السياحى2,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000272,فندق التوفيق 2,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000274,نزل كيلو بتراء,hostel,,,نزل,,0,false,B,institutional or facility-provided image request,
LY-HOT-000280,فندق بوابة أفريقيا,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000285,فندق النورس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000286,فندق التوفيق 1,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000287,فندق اليسر,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000288,فندق الخيام العربية,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000289,فندق الرشيد,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000290,فندق أسامة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000291,فندق الزيتونة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000292,فندق ريباس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000293,فندق طليطلة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000294,فندق صبراتة,hotel,السويحلي طرابلس,السويحلي طرابلس,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000296,فندق الكندي,hotel,اربعة شوارع الكندي طرابلس ليبيا,اربعة شوارع الكندي طرابلس ليبيا,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000298,فندق البشير,hotel,شارع الكندي، طرابلس، ليبيا,شارع الكندي، طرابلس، ليبيا,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000299,فندق الهاني,hostel,يقع الفندق في شارع أنطونيو ستوباني ما يعرف محليا ب بورقيبة,يقع الفندق في شارع أنطونيو ستوباني ما يعرف محليا ب بورقيبة,نزل,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000300,فندق القنصل فندق القنصل,hotel,شارع الكندي طرابلس ليبيا,شارع الكندي طرابلس ليبيا,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000301,فندق الجبل الاخضر,hotel,يقع الفندق في وسط المدينة الحيوي، وتحديداً في شارع المأمون,يقع الفندق في وسط المدينة الحيوي، وتحديداً في شارع المأمون,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000302,الفتح,review_required,مغلق مؤقتا,مغلق مؤقتا,تحتاج مراجعة,,0,false,B,institutional or facility-provided image request,
LY-HOT-000303,فندق قصر ليبيا,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000304,Hotel Haroun 2,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000306,فندق كيان طرابلس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000308,فندق نيو ستي New City hotel,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000309,فندق الدالي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000310,زهرة الشمس,review_required,,,تحتاج مراجعة,,0,false,B,institutional or facility-provided image request,
LY-HOT-000311,فندق ضيافة طرابلس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000312,فندق الفتح شارع الرشيد,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000313,فندق بلخير,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000315,فندق الوحدة العربية,hotel,يقع الفندق عند الإشارة الضوئية بشارع جمال عبد الناصر في طرابلس,يقع الفندق عند الإشارة الضوئية بشارع جمال عبد الناصر في طرابلس,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000316,فندق الكنوز الذهبية,hostel,شارع عمر المختار سيمافرو جمال عبد الناصر السويحلي,شارع عمر المختار سيمافرو جمال عبد الناصر السويحلي,نزل,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000317,فندق الشراع,hotel,لا يوجد معلومات متوافرة,لا يوجد معلومات متوافرة,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000325,النجمة الذهبية لشقق الفندقية,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000326,الفخامه للشقق المفروشه,review_required,091-0343800,091-0343800,تحتاج مراجعة,,0,false,B,institutional or facility-provided image request,
LY-HOT-000327,اوس لشقق المفروشه,review_required,,,تحتاج مراجعة,,0,false,B,institutional or facility-provided image request,
LY-HOT-000328,فندق الساحل,apartment_hotel,صبراتة,صبراتة,شقق فندقية,,0,false,B,institutional or facility-provided image request,
LY-HOT-000329,الجوهرة للشقق الفندقية,apartment_hotel,اجدابيا ليبيا طريق اوجلة,اجدابيا ليبيا طريق اوجلة,شقق فندقية,,0,false,B,institutional or facility-provided image request,
LY-HOT-000330,فندق اجدابيا السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000341,فندق سمر قند,hotel,غريان، بالقرب من محطة الركوبة العامة,غريان، بالقرب من محطة الركوبة العامة,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000347,فندق قصر البيضاء,hotel,تم ازالته,تم ازالته,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000348,فندق القاهرة البيضاء,hotel,مغلق حاليا,مغلق حاليا,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000350,مكة للشقق الفندقية البيضاء,apartment_hotel,,,شقق فندقية,,0,false,B,institutional or facility-provided image request,
LY-HOT-000351,برج المدينة للشقق الفندقية البيضاء,hotel,يقع البرج في شارع البكوش بمدينة البيضاء، ويتميز بموقع استراتيجي وحيوي,يقع البرج في شارع البكوش بمدينة البيضاء، ويتميز بموقع استراتيجي وحيوي,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000353,فندق برقة السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000354,فندق افريقيا البيضاء,hostel,يقع الفندق في مدينة البيضاء، ويتميز بموقع هادئ وسهل الوصول إليه,يقع الفندق في مدينة البيضاء، ويتميز بموقع هادئ وسهل الوصول إليه,نزل,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000359,فندق قصر الضيافة للشقق الفندقية البيضاء,apartment_hotel,يقع الفندق في المدخل الغربي لمدينة البيضاء، وتحديداً عند مفترق رويفع الأنصاري على الطريق المؤدية إلى الطريق الدائري,يقع الفندق في المدخل الغربي لمدينة البيضاء، وتحديداً عند مفترق رويفع الأنصاري على الطريق المؤدية إلى الطريق الدائري,شقق فندقية,,0,false,B,institutional or facility-provided image request,
LY-HOT-000362,فندق الاندلس السياحي الخمس,hotel,يقع فندق الأندلس في مدينة الخمس بليبيا على الطريق الساحلي (طريق طرابلس),يقع فندق الأندلس في مدينة الخمس بليبيا على الطريق الساحلي (طريق طرابلس),فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000367,فندق الليلك ALlilac hotel,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000368,فندق البحيرات السبعة السياحي,hotel,"بجوار مقهى الديوانية, بنغازي","بجوار مقهى الديوانية, بنغازي",فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000369,فندق برنيتشي السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000370,Sabratha youth hostel _بيت شباب صبراتة,review_required,,,تحتاج مراجعة,,0,false,B,institutional or facility-provided image request,
LY-HOT-000371,Lancaster Al Salam Resort - منتجع لانكستر السلام,resort,,,منتجع سياحي,,0,false,B,institutional or facility-provided image request,
LY-HOT-000372,فندق الساحل,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000373,المعهد القومي العلاج الأورام صبراتة,review_required,,,تحتاج مراجعة,,0,false,B,institutional or facility-provided image request,
LY-HOT-000374,السيلفيوم للشقق المفروشة,review_required,,,تحتاج مراجعة,,0,false,B,institutional or facility-provided image request,
LY-HOT-000381,فندق الهانى,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000382,فندق اليسر,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000383,فندق جنان النوار,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000387,فندق صبراتة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000391,فندق منتجع الطاووس,resort,,,منتجع سياحي,4,0,false,B,institutional or facility-provided image request,
LY-HOT-000397,تحت الصيانة الفندق الكبير,hotel,,,فندق,4,0,false,B,institutional or facility-provided image request,
LY-HOT-000403,إقامة إيفا للشق الفندقية,apartment_hotel,,,شقق فندقية,,0,false,B,institutional or facility-provided image request,
LY-HOT-000420,فندق الاندلس,hostel,,,نزل,,0,false,B,institutional or facility-provided image request,
LY-HOT-000422,فندق البشير,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000426,فندق الجبل الأخضر,hotel,,,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000427,فندق الجرات,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000428,فندق الخان الطرابلسي,hotel,,,فندق,4,0,false,B,institutional or facility-provided image request,
LY-HOT-000429,فندق الخليج,hostel,,,نزل,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000430,فندق الخيام العربية,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000431,فندق الدالي,hotel,,,فندق,1,0,false,B,institutional or facility-provided image request,
LY-HOT-000433,فندق الدوحة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000435,فندق الديوان,hotel,,,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000436,فندق الديوان,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000439,فندق الرحاب,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000440,فندق الرحاب 1,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000441,فندق الرحاب 2,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000442,فندق الرفيع,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000443,فندق الرواد,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000447,فندق السرايا السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000448,فندق السفير,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000449,فندق السفينة الزرقاء,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000450,فندق السلاسل الذهبية,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000451,فندق السلطان,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000452,فندق السلطان داون تاون,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000453,فندق السندباد,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000454,فندق الشاطئ الذهبي,hotel,,,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000455,فندق الشجرة,hotel,,,فندق,4,0,false,B,institutional or facility-provided image request,
LY-HOT-000456,فندق الشمس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000457,فندق الصافي,hotel,,,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000458,فندق الصفوة للشقق الفندقية,apartment_hotel,,,شقق فندقية,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000459,فندق الصولجان,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000460,فندق الضيافة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000461,فندق الطريق,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000462,فندق العاصمة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000463,فندق الفتح,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000464,فندق الفردوس,hotel,,,فندق,1,0,false,B,institutional or facility-provided image request,
LY-HOT-000465,فندق الفصول الأربعة ( 1 ),hotel,,,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000466,فندق الفصول الأربعة ( 2 ),hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000467,فندق الفصول الأربعة ( 3 ),hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000468,فندق القلعة السياحي للشقق المفروشة,apartment_hotel,,,شقق فندقية,,0,false,B,institutional or facility-provided image request,
LY-HOT-000469,فندق القنصل,hotel,,,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000470,فندق القوس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000471,فندق الكندي,hotel,,,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000472,فندق الكنوز الدهبية,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000473,فندق اللؤلؤة,apartment_hotel,,,شقق فندقية,,0,false,B,institutional or facility-provided image request,
LY-HOT-000474,فندق الليلك,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000475,فندق المأمون,hotel,,,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000476,فندق المبروك,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000477,فندق المتوسط,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000478,فندق المتوسط,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000481,فندق المختار,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000482,فندق المشكاة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000483,فندق المنامة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000485,فندق النخلة السياحي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000486,فندق النهر,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000487,فندق النورس,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000488,فندق الهاني,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000489,فندق الهناء,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000490,فندق الواحات,hotel,,,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000491,فندق الوادي,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000492,فندق الودان,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000493,فندق الياسمينة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000494,فندق الياقوتة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000495,فندق اليقين,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000497,فندق أجنحة الوليد,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000498,فندق أسامة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000499,فندق أسامة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000500,فندق أسامة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000501,فندق أسامة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000502,فندق باب البحر,hotel,,,فندق,4,0,false,B,institutional or facility-provided image request,
