feature_id,facility_name_ar,facility_type,city_ar,current_candidate_image_id,recommended_image_id,recommended_master_image_id,automatic_match_basis,technical_quality,shared_image_status,manual_visual_review_status,primary_suitability,rights_status,institutional_approval_status,recommendation_status,notes
LY-HOT-000011,منتجع الينابيع السياحي,resort,,IMG-65AB52B2F6CC48F7,IMG-65AB52B2F6CC48F7,IMG-84252D7DCE95F6A0,existing_link,high,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000012,فندق برقة,hotel,,IMG-119A09082CDA83D7,IMG-119A09082CDA83D7,IMG-5568E8921219816B,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000018,فندق الطاووس,hostel,,IMG-70EDD68175987801,IMG-70EDD68175987801,IMG-70EDD68175987801,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000019,فندق الودان,hotel,,IMG-6A860408D3A66731,IMG-6A860408D3A66731,IMG-8D9EA23C81887426,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000020,فندق دار السلام ( المسيرة سابقا ),hotel,,IMG-872A6D479BE28E01,IMG-872A6D479BE28E01,IMG-FCAE0E7CAF03F59D,existing_link,thumbnail_only,shared_case_requires_review,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,shared_image_conflict,
LY-HOT-000021,فندق سان جورج,hotel,,IMG-3CBAB36D93017A02,IMG-3CBAB36D93017A02,IMG-A6E700E352D9D346,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000022,فندق الحسنين الكبير,hostel,,IMG-19C3F36AD1E19044,IMG-19C3F36AD1E19044,IMG-7F6D30A79425F860,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000023,بيوت الشباب,hostel,,IMG-56A6440E48860943,IMG-56A6440E48860943,IMG-764C36CA540766FE,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000024,فندق بلاغراي السياحي ( التلال سابقا ),hostel,,IMG-F5D8E40E6C1EA4DB,IMG-F5D8E40E6C1EA4DB,IMG-ECA705914F3DDBD7,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000025,منتجع ايميليا,resort,,IMG-E4FA3718C8C00988,IMG-E4FA3718C8C00988,IMG-08F6D5CE7DAC9C94,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000026,منتجع وموتيل الأمان,resort,,IMG-2B0470543FB41D5D,IMG-2B0470543FB41D5D,IMG-C455F0239870E895,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000027,بيوت شباب غدامس,review_required,,IMG-76159BDC315DE906,IMG-76159BDC315DE906,IMG-2A66FD84B44F3088,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000028,نالوت غدامس فندق باب العز,hotel,,IMG-EEC9D5AE902233A5,IMG-EEC9D5AE902233A5,IMG-228F6BDB3D316354,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000029,فندق أبراج الوسطى,hotel,,IMG-0F373BA333C2EBDE,IMG-0F373BA333C2EBDE,IMG-CB96DDDE68C5CFBE,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000031,فندق قصر الفيروز,hostel,,IMG-4B53EBB6AABCC1D3,IMG-4B53EBB6AABCC1D3,IMG-935DD19ECAFD33E4,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000032,Royal Gardens Hotels,hostel,,IMG-5BA106F592D0332E,IMG-5BA106F592D0332E,IMG-19CA1851ED79FB1D,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000034,فندق احواص,hostel,,IMG-5ED99B628601EBD3,IMG-5ED99B628601EBD3,IMG-522DC3EE12090AF5,existing_link,acceptable,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000035,فندق الانوار,hotel,,IMG-657CB03042B5C04B,IMG-657CB03042B5C04B,IMG-03ECD13E8D5C6991,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000036,فندق الأخوة,hotel,,IMG-02413AAE55399FB1,IMG-02413AAE55399FB1,IMG-D3FB20419603B1A1,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000037,فندق الأصالة,hotel,,IMG-5806382F3E321975,IMG-5806382F3E321975,IMG-D0E8CF7434915CC6,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000038,فندق الأصيل,hotel,,IMG-2BEC7C4B87BFEE2A,IMG-2BEC7C4B87BFEE2A,IMG-DE7D1D958BED2577,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000039,فندق الأندلس,hotel,,IMG-95E3447DAE58A495,IMG-95E3447DAE58A495,IMG-FF9B5C89FCA47753,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000040,فندق البركة,hotel,,IMG-4C26C96431EC63BA,IMG-4C26C96431EC63BA,IMG-DBD02A9A43973386,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000041,فندق البستان,hotel,,IMG-A3FECBDF161B5CCE,IMG-A3FECBDF161B5CCE,IMG-78A889EBB36B296C,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000042,التاج للشقق الفندقية,hotel,,IMG-C6DFB6BFEF341C5D,IMG-C6DFB6BFEF341C5D,IMG-FC371968523F74F4,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000045,فندق جوهرة صبراتة السياحي,hotel,,IMG-2A5F837F7840D805,IMG-2A5F837F7840D805,,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000046,فندق الجوهرة الزاوية,hotel,,IMG-2AE0615B4101D7F4,IMG-2AE0615B4101D7F4,IMG-3219ADC72F5D3D54,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000049,فندق الخان الطرابلسي,hotel,,IMG-C7239FBDF94ED0B0,IMG-C7239FBDF94ED0B0,IMG-443FF103E9C980C5,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000050,فندق الخليج,hostel,,IMG-B51A8889CBB17DA7,IMG-B51A8889CBB17DA7,IMG-DFF472B57CBC2904,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000051,فندق الدبلوماسي,hotel,,IMG-9A077AB897E06613,IMG-9A077AB897E06613,IMG-50A720DCFED91911,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000053,فندق الديار,hotel,,IMG-76FF508F0B7A8565,IMG-76FF508F0B7A8565,IMG-56E98A5645B39F5D,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000054,فندق الرابطة,hotel,,IMG-5A8F81B9322E3F57,IMG-5A8F81B9322E3F57,IMG-0B35E801F141C640,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000055,فندق الرفيع,hostel,,IMG-C75C7E18E8905149,IMG-C75C7E18E8905149,IMG-1289F69675F9BC19,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000056,فندق الريان,hotel,,IMG-67A5A64E322D0F37,IMG-67A5A64E322D0F37,IMG-D4C607AB8D516F6C,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000057,فندق الزهر,hotel,,IMG-B7DE3703E4372DC6,IMG-B7DE3703E4372DC6,IMG-B12576573F81B667,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000058,فندق الزيتونة,hostel,,IMG-63F705E27DA71CF5,IMG-63F705E27DA71CF5,IMG-663C7115DAD00DDA,existing_link,acceptable,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000059,فندق السرايا,hotel,,IMG-12604B3B51DF48AE,IMG-12604B3B51DF48AE,IMG-94AC661C198FA9B4,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000060,فندق زوارة,hostel,,IMG-529535B1FF6858C1,IMG-529535B1FF6858C1,IMG-1826FC3DA9B6FF0D,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000061,فندق السندباد,hotel,,IMG-1FEA6DD92699F439,IMG-1FEA6DD92699F439,IMG-D811C87C391D5766,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000062,فندق الشجرة,hostel,,IMG-20030B09B95C21F0,IMG-20030B09B95C21F0,IMG-096DC0A326F5DF45,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000064,فندق الشمس,hotel,,IMG-301D258252D7F3D2,IMG-301D258252D7F3D2,IMG-B6E928DEACBB4687,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000065,فندق الصفوة,hostel,,IMG-FC2F7E0A509C8E80,IMG-FC2F7E0A509C8E80,IMG-C5613AE16E174C4C,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000066,فندق الصناعية مصراتة,hotel,,IMG-07D179D8F1F3B4C8,IMG-07D179D8F1F3B4C8,IMG-67013592F955DB61,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000067,فندق الصولجان,hotel,,IMG-506CFAE19599447E,IMG-506CFAE19599447E,IMG-214CCC8E1E22A28F,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000068,فندق العاصمة,hotel,,IMG-2754AC0FDB2BC23D,IMG-2754AC0FDB2BC23D,IMG-2DF881E5E9936D8A,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000071,فندق القوس,hotel,,IMG-8F2297D7FBB16C96,IMG-8F2297D7FBB16C96,IMG-4C4A7EF4E59E1C56,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000072,فندق الكبير,hotel,,IMG-0FA01A3B05B019A0,IMG-0FA01A3B05B019A0,IMG-50D31F0B8DD20094,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000074,فندق الماسة,hotel,,IMG-5F1F8C35419379DF,IMG-5F1F8C35419379DF,IMG-29E63001ED6E6AA8,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000075,فندق المتوسط,hotel,,IMG-4F0A3CE02FA1B883,IMG-4F0A3CE02FA1B883,IMG-5BE42BF01EA16B89,existing_link,thumbnail_only,shared_case_requires_review,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,shared_image_conflict,
LY-HOT-000077,فندق المشكاة,hotel,,IMG-31E0CFFABE88906C,IMG-31E0CFFABE88906C,IMG-FDB2049E02358947,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000078,فندق المنامة,hotel,,IMG-F83777E607F937D9,IMG-F83777E607F937D9,IMG-F83777E607F937D9,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000079,فندق النخلة,hotel,,IMG-280C1B178E8D3CFF,IMG-280C1B178E8D3CFF,IMG-9DECD06211223AB2,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000080,فندق النقازة الخمس,resort,,IMG-03FE1BFC24DF7657,IMG-03FE1BFC24DF7657,IMG-38960BB243DCAEBE,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000081,فندق النهر,hostel,,IMG-00DF5A97DE0DCF00,IMG-00DF5A97DE0DCF00,IMG-44F58819FE6505E3,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000084,فندق الواحات,hotel,,IMG-612CCDBF36460E46,IMG-612CCDBF36460E46,IMG-D6889136D1DAD153,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000085,فندق الياسمين,hotel,,IMG-477F3B49EC08BB94,IMG-477F3B49EC08BB94,IMG-477F3B49EC08BB94,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000086,فندق أجنحة قرطاج,hotel,,IMG-F7EC6271B650752B,IMG-F7EC6271B650752B,IMG-C778F371CEE679A5,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000088,فندق بنت السيد,hotel,,IMG-599C8099E31AA502,IMG-599C8099E31AA502,IMG-D1E6E47D8546628E,existing_link,acceptable,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000090,فندق بيت الأمان,hostel,,IMG-51AB10EF4C188BE1,IMG-51AB10EF4C188BE1,IMG-20805D649E860231,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000091,فندق بيت الشرق,hostel,,IMG-EF3B1425ACE980F9,IMG-EF3B1425ACE980F9,IMG-EF3B1425ACE980F9,existing_link,high,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000093,لانكاستر برج الحياة ( ماريوت سابقا),hotel,,IMG-CB4676B3E9A8B840,IMG-CB4676B3E9A8B840,IMG-988702877E84182E,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000094,فندق دار غدامس,hostel,,IMG-7AC07FEBBAB341ED,IMG-7AC07FEBBAB341ED,IMG-611FCFB8ACD59250,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000095,فندق ديار الهناء,hotel,,IMG-92E4F00620C05EFB,IMG-92E4F00620C05EFB,IMG-83CA82DB3EDF9B3C,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000096,فندق ليبوس,hotel,,IMG-F9F53CED1C50A8BD,IMG-F9F53CED1C50A8BD,IMG-C10554B3A3FB55E7,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000097,فندق ريكسوس,hotel,,IMG-0D74F9F296DF86DD,IMG-0D74F9F296DF86DD,IMG-ED18EDDB741D1F0A,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000098,فندق زليتن,hotel,,IMG-C8F2AC0814DA6F5B,IMG-C8F2AC0814DA6F5B,IMG-DBD8425A1CC2BD0C,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000099,فندق زميت,hotel,,IMG-9F297B4C0B40C957,IMG-9F297B4C0B40C957,IMG-B8A9EE245BA8AD26,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000100,فندق زوارة,hotel,,IMG-50C88BA946BC9961,IMG-50C88BA946BC9961,IMG-255FB8237A2F0054,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000102,فندق سفاري,hotel,,IMG-055271F1382E9D5A,IMG-055271F1382E9D5A,IMG-9D8E2EB582BFCFAC,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000103,فندق سفاري 2,hotel,,IMG-5FD7D29019D53E4A,IMG-5FD7D29019D53E4A,IMG-CCD95F291123DD4A,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000105,فندق ضيافة ونيس,hotel,,IMG-9D9788DF5F512236,IMG-9D9788DF5F512236,IMG-69E8B1DE5A71649E,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000106,فندق طرابلس الدولي,hotel,,IMG-473D64CC0B4F095E,IMG-473D64CC0B4F095E,IMG-9C4AEF2C6F040553,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000107,فندق طليطلة,hotel,,IMG-6580CB7EB805DFF0,IMG-6580CB7EB805DFF0,IMG-0E799557CED9064A,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000108,فندق طيبة,hotel,,IMG-60AE2A53516D38B5,IMG-60AE2A53516D38B5,IMG-F9A3C38667647920,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000109,فندق عمير,hostel,,IMG-14E7A433C1AA23C9,IMG-14E7A433C1AA23C9,IMG-72372DA2CAC0811E,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000110,فندق عين الفرس,hotel,,IMG-DA0ECA578123941F,IMG-DA0ECA578123941F,IMG-48C35F15AFAC03C4,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000112,فندق غريان السياحي,hotel,,IMG-6BCB30EA9DC9D585,IMG-6BCB30EA9DC9D585,IMG-B6A8AFA7F049B288,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000113,فندق قرطاج,hotel,,IMG-046EDC55FFD15293,IMG-046EDC55FFD15293,IMG-C4A9802D583C2030,existing_link,thumbnail_only,shared_case_requires_review,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,shared_image_conflict,
LY-HOT-000114,فندق قصر الظهرة,hotel,,IMG-9177C7EFBB2B6B7C,IMG-9177C7EFBB2B6B7C,IMG-35D703EAB18EB32C,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000115,فندق قصر الفيروز,hotel,,IMG-110FEF464D2C395F,IMG-110FEF464D2C395F,IMG-BE5EAB4A5C09CAA4,existing_link,thumbnail_only,shared_case_requires_review,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,shared_image_conflict,
LY-HOT-000116,فندق قمر صبراتة,hotel,,IMG-418C257283B4249C,IMG-418C257283B4249C,IMG-C8E867675C8382FE,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000118,فندق لبدة السياحي الخمس,hotel,,IMG-67129E3029742E03,IMG-67129E3029742E03,IMG-60A7D1321C83220B,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000119,فندق ليالي قرطاج,hotel,,IMG-E6FB468A34553F69,IMG-E6FB468A34553F69,IMG-B10F334A01F52BC3,existing_link,thumbnail_only,shared_case_requires_review,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,shared_image_conflict,
LY-HOT-000120,فندق ليبيا,hostel,,IMG-E154B829B141A067,IMG-E154B829B141A067,IMG-777779309D76AB79,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000121,فندق مادي الحسان,hotel,,IMG-433F949188978281,IMG-433F949188978281,IMG-48D58D48DAA701DC,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000123,فندق ومطعم الامتياز,hotel,,IMG-4CC4FED28261BA62,IMG-4CC4FED28261BA62,IMG-1CF0D3EE8287CA23,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000125,فندق يفرن,hotel,,IMG-E62FE6C2A48E1957,IMG-E62FE6C2A48E1957,IMG-4F0420A624DB83FF,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000128,فندق الثريا السياحي,hotel,,IMG-8D254ED37F12A687,IMG-8D254ED37F12A687,IMG-F0443C68BFB8ECB7,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000130,فندق البتراء,hotel,,IMG-274B8FDFA79EB046,IMG-274B8FDFA79EB046,IMG-86FE165F8F5ADA77,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000131,فندق البردي,hotel,,IMG-BD576D6C7A28616B,IMG-BD576D6C7A28616B,IMG-D9758A121B1BEAC9,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000132,فندق التلال,hotel,,IMG-E4F857A3669A2646,IMG-E4F857A3669A2646,IMG-7FF5B1B7BB76C090,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
