id,name_ar,quality_status,completeness_percent,missing_fields,review_status,notes
LY-ACC-RES-ZUW-00001,قرية إدوس السياحية,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00011,منتجع اتش تي 3,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00012,منتجع شاليهات للاجار,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00013,قرية العطايا العائلية,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00014,منتجع برستيج,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00015,قرية القويعة السياحية,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00016,شاليهات بن بية,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00017,قرية ميار البحر العائليه,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00018,قرية أغيث السياحية,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00019,قرية الخلة السياحية العائلية,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00020,مجمع جواهر لاند,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00021,منتجع دار البحر,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00022,منتجع وادي بالنور,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00023,منتجع بيتش هاوس,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00024,قرية قوس غنيمة السياحية,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00025,منتجع ايليت السياحي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00026,قرية شمس البحر,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00017,قرية لؤلؤة غنيمة العائلية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00027,شاليهات ركن النيروز,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00028,قرية رأس الحمراء العائلية,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00018,قرية شاطئ النخيل الذهبي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZLI-00001,قرية أصيل السياحية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZLI-00002,قرية الهُزم السياحية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-MIS-00001,منتجع الأمان السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-MIS-00002,منتجع مصراتة,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-MIS-00003,منتجع فينيسيا/مصراتة,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-MIS-00004,قرية زريق السياحية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00029,حي قصور الضيافة_سرت,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00001,شاليهات ريماس,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00002,قرية شاطيء النخيل,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00003,منتجع مارينا بنغازي السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00004,منتجع الصفوة السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00005,منتجع ماربيلا السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00006,مجمع الاصالة السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00007,قرية الفاضل,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00008,منتجع الأسيل,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00009,منتجع الماسة السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00010,منتجع قاريونس العائلي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00011,منتجع النخلة الذهبية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00012,منتجع فايا لارجو,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BEN-00013,قرية قمرت السياحية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00030,منتجع التلال الحمامة,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00031,منتجع الجراري السياحي - للعائلات,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00032,منتجع ومصيف الحمامة,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00033,قرية إيلاف السياحية,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BAY-00001,شاليهات الحدائق الملكية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BAY-00002,منتجع وادي الكوف,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00034,منتجع إيلاند السياحي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00035,منتجع كنزي السياحي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00036,منتجع سوسه,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00037,مصيف القريه/رأس الهلال,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00038,منتجع الينابيع السياحي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00039,منتجع الاثرون السياحي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-DER-00001,منتجع إيميليا السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-DER-00002,مصيف 1805,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00040,منتجع الابرق السياحي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SHA-00001,منتج شحات السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SHA-00002,منتجع وموتيل الأمان 1,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SHA-00003,منتجع وموتيل الأمان 3,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SHA-00004,شاليهات بوعطية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SHA-00005,منتجع جود السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00019,إستراحات فردية درجة أولى,medium,57,rooms|beds|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SHA-00006,إستراحات فردية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SHA-00007,منتجع الاسرة السعيدة,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SHA-00008,شاليهات بومؤمن,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SHA-00009,منتجع سيف للسياحه ولاستثمار,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-TOB-00001,منتجع وفندق ريفان السياحي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00012,قرية سبتيموس السياحية - زوارة,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00013,قرية سيمو السياحية - زوارة,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZLI-00003,منتجع الهادريان زليتن,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00041,منتجع سفارى السياحى,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00014,قرية اوديسا السياحية,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00015,Azul house استراحة ازول,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00016,DiVano Resort,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00017,منتجع لاجون Lagoon Resort,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00018,Barracuda Village - منتجع باراكودا,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00042,Oea Village - Diar Al Bahr,medium,57,municipality|rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00043,قرية قوس غنيمة السياحية,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00044,La Vida Resort & Beach Club,low,21,municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00045,استراحة اونان,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00046,Resort Zuwara,low,21,municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00047,Beach House,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00019,استراحة سيليا زوارة,low,21,classification|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00048,استراحة نبض الحياة,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00049,Villa Helena,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00050,Crystal House إستراحة كريستال,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00051,استرحات انيار المميزة,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00052,اقامة لونا,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00053,استراحة LAREN,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00020,منتجع بالي زوارة/Bali village,low,21,classification|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00054,Sea room,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00055,Guest house,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00056,منتجع الملّاحة,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00021,مصيف أبناء الغالي العائلي-زوارة,low,29,address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00057,استراحة فايق بكه,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00022,قصر الضيافة زوارة,low,21,classification|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00058,استراحة الشاطئ,low,21,municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00059,استراحة دار الضيافة,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00023,استراحة فيرونا زوارة,low,21,classification|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00060,استراحة نوفل,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00024,شاطئ بحر زوارة,low,21,classification|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00061,المصيف المفتوح تليل,low,21,municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00062,مصيف مارينا تليل العائلي,low,21,municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00063,Lancaster Al Salam Resort - منتجع لانكستر السلام,low,21,municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SAB-00004,مصيف اللوتس العائلي صبراتة,low,29,address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00064,شاطئ تليل السياحي,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00065,مصيف اللؤلؤة تليل,low,21,municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SAB-00005,مصيف النادي البحري العائلي صبراتة,low,29,address|contact|rooms|beds|units|capacity|services|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00066,استراحات الفخامة صبراته,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00067,إستراحة الجوهرة - تليل,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00068,استراحة رويال,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00069,استراحة تليل,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00070,استراحة روندا,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-BAY-00003,استراحة البيضاء,low,21,classification|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00071,إستراحة المنتزه تليل,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SAB-00006,استراحة القمر المضيء صبراتة تليل,low,21,classification|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00072,استراحه مرجان,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00073,استراحة ليالي تليل,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00074,استراحة ادم,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00075,إستراحة أبان,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00076,منتجع الفنار السياحي,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00077,مجموعة استراحات الجرف,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00078,إستراحة بيت الفخامه,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00079,استراحة قورينا,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00080,استراحة اتار صبراته,low,14,classification|municipality|address|contact|rooms|beds|units|capacity|services|license|operation|image,review_required,Complete from tourism authority or municipality; verify classification
